LAT/LAT335+3.p, no scope finishes in time range,0, v3si,1200, StackOverflowError, v4si,629.99, Unsat,,,
RNG/RNG089+2.p, Unsat,11, v3si,417.57, Unsat, v4si,461.19, Unsat,,,
SWV/SWV112+1.p, no scope finishes in time range,5, v3si,111.02, Unsat, v4si,123.2, Unsat,,,
CSR/CSR251+1.p, Unsat,3, v3si,341.56, Unsat, v4si,300.73, Unsat,,,
NUM/NUM595+1.p, no scope finishes in time range,7, v3si,1200, TIMEOUT, v4si,154.26, Unsat,,,
GEO/GEO220+1.p, Unsat,45, v3si,1077.6, Unsat, v4si,893.1, Unsat,,,
SWV/SWV236+1.p, no scope finishes in time range,9, v3si,160.09, Unsat, v4si,58.42, Unsat,,,
RNG/RNG119+4.p, Unsat,7, v3si,384.26, Unsat, v4si,214.79, Unsat,,,
SWW/SWW313+1.p, no scope finishes in time range,3, v3si,119.32, Unsat, v4si,99.23, Unsat,,,
SWB/SWB009+2.p, Unsat,11, v3si,196.18, Unsat, v4si,247.86, Unsat,,,
NUM/NUM476+2.p, no scope finishes in time range,13, v3si,425.23, Unsat, v4si,39.35, Unsat,,,
LCL/LCL662+1.010.p, no scope finishes in time range,1, v3si,1200, NONZEROCODE, v4si,1200, NONZEROCODE,,,
KRS/KRS147+1.p, Unsat,261, v3si,426.4, Unsat, v4si,326.82, Unsat,,,
SEU/SEU225+2.p, Unsat,9, v3si,327.04, Unsat, v4si,504.44, Unsat,,,
SWV/SWV053+1.p, no scope finishes in time range,5, v3si,96.95, Unsat, v4si,109.13, Unsat,,,
SWB/SWB007+2.p, no scope finishes in time range,1001, v3si,23.96, Unsat, v4si,23.58, Unsat,,,
LAT/LAT296+1.p, no scope finishes in time range,7, v3si,292.37, Unsat, v4si,11.65, Unsat,,,
ALG/ALG163+1.p, Unsat,261, v3si,259.73, Unsat, v4si,385.25, Unsat,,,
CSR/CSR116+45.p, Unsat,3, v3si,509.84, Unsat, v4si,391.47, Unsat,,,
SWW/SWW374+1.p, no scope finishes in time range,3, v3si,114.09, Unsat, v4si,102.12, Unsat,,,
LAT/LAT322+1.p, no scope finishes in time range,7, v3si,15.34, Unsat, v4si,36.67, Unsat,,,
LCL/LCL660+1.005.p, Unsat,10, v3si,474.99, Unsat, v4si,222.87, Unsat,,,
SWV/SWV198+1.p, no scope finishes in time range,5, v3si,116.12, Unsat, v4si,106.86, Unsat,,,
SWC/SWC114+1.p, Unsat,7, v3si,509.25, Unsat, v4si,514.83, Unsat,,,
ALG/ALG231+3.p, no scope finishes in time range,0, v3si,1200, StackOverflowError, v4si,1200, StackOverflowError,,,
SEU/SEU219+2.p, Unsat,9, v3si,258.7, Unsat, v4si,509.03, Unsat,,,
SET/SET657+3.p, Unsat,8, v3si,767.37, Unsat, v4si,856.88, Unsat,,,
NUM/NUM835+1.p, no scope finishes in time range,13, v3si,470.52, Unsat, v4si,18.49, Unsat,,,
SYN/SYN036+1.p, Unsat,261, v3si,495.92, Unsat, v4si,377.89, Unsat,,,
ALG/ALG183+1.p, Unsat,138, v3si,400.18, Unsat, v4si,393.44, Unsat,,,
SCT/SCT148+1.p, no scope finishes in time range,3, v3si,1200, TIMEOUT, v4si,1200, TIMEOUT,,,
SEU/SEU096+1.p, Unsat,30, v3si,485.23, Unsat, v4si,322.17, Unsat,,,
SYN/SYN949+1.p, no scope finishes in time range,1001, v3si,153.36, Unsat, v4si,56.54, Unsat,,,
NUN/NUN082+2.p, Unsat,12, v3si,1014.64, Unsat, v4si,1008.79, Unsat,,,
GEO/GEO213+2.p, Unsat,22, v3si,292.74, Unsat, v4si,205, Unsat,,,
SEU/SEU288+2.p, Unsat,8, v3si,472.35, Unsat, v4si,484.18, Unsat,,,
KRS/KRS150+1.p, Unsat,508, v3si,389.82, Unsat, v4si,501.53, Unsat,,,
GRP/GRP618+1.p, no scope finishes in time range,9, v3si,1200, TIMEOUT, v4si,377.06, Unsat,,,
NUM/NUM517+1.p, no scope finishes in time range,15, v3si,112.69, Unsat, v4si,517.02, Unsat,,,
SWC/SWC382+1.p, Unsat,7, v3si,547.63, Unsat, v4si,545.82, Unsat,,,
SWC/SWC233+1.p, Unsat,7, v3si,490.4, Unsat, v4si,466.38, Unsat,,,
GEO/GEO272+1.p, no scope finishes in time range,3, v3si,104.47, Unsat, v4si,106.81, Unsat,,,
SEU/SEU165+2.p, Unsat,11, v3si,268.31, Unsat, v4si,365.32, Unsat,,,
TOP/TOP039+2.p, no scope finishes in time range,3, v3si,1200, TIMEOUT, v4si,363.31, Unsat,,,
SWC/SWC236+1.p, Unsat,7, v3si,435.47, Unsat, v4si,410.56, Unsat,,,
NUM/NUM923+7.p, no scope finishes in time range,3, v3si,1200, TIMEOUT, v4si,1200, TIMEOUT,,,
SEU/SEU189+1.p, Unsat,508, v3si,877.37, Unsat, v4si,870.52, Unsat,,,
TOP/TOP023+3.p, no scope finishes in time range,0, v3si,1200, StackOverflowError, v4si,704.05, Unsat,,,
NUN/NUN092+2.p, no scope finishes in time range,5, v3si,132.35, Unsat, v4si,132.28, Unsat,,,
GRP/GRP653+2.p, no scope finishes in time range,3, v3si,181.95, Unsat, v4si,100.82, Unsat,,,
CSR/CSR066+1.p, no scope finishes in time range,9, v3si,380.04, Unsat, v4si,65.26, Unsat,,,
