SEU/SEU225+2.p, Unsat,9, v3si,327.04, Unsat, v4si,504.44, Unsat
ALG/ALG163+1.p, Unsat,261, v3si,259.73, Unsat, v4si,385.25, Unsat
CSR/CSR116+45.p, Unsat,3, v3si,509.84, Unsat, v4si,391.47, Unsat
LCL/LCL660+1.005.p, Unsat,10, v3si,474.99, Unsat, v4si,222.87, Unsat
SWC/SWC114+1.p, Unsat,7, v3si,509.25, Unsat, v4si,514.83, Unsat
SEU/SEU219+2.p, Unsat,9, v3si,258.7, Unsat, v4si,509.03, Unsat
SET/SET657+3.p, Unsat,8, v3si,767.37, Unsat, v4si,856.88, Unsat
SYN/SYN036+1.p, Unsat,261, v3si,495.92, Unsat, v4si,377.89, Unsat
ALG/ALG183+1.p, Unsat,138, v3si,400.18, Unsat, v4si,393.44, Unsat
SEU/SEU096+1.p, Unsat,30, v3si,485.23, Unsat, v4si,322.17, Unsat
NUN/NUN082+2.p, Unsat,12, v3si,1014.64, Unsat, v4si,1008.79, Unsat
GEO/GEO213+2.p, Unsat,22, v3si,292.74, Unsat, v4si,205, Unsat
SEU/SEU288+2.p, Unsat,8, v3si,472.35, Unsat, v4si,484.18, Unsat
KRS/KRS150+1.p, Unsat,508, v3si,389.82, Unsat, v4si,501.53, Unsat
SWC/SWC382+1.p, Unsat,7, v3si,547.63, Unsat, v4si,545.82, Unsat
SWC/SWC233+1.p, Unsat,7, v3si,490.4, Unsat, v4si,466.38, Unsat
SEU/SEU165+2.p, Unsat,11, v3si,268.31, Unsat, v4si,365.32, Unsat
SWC/SWC236+1.p, Unsat,7, v3si,435.47, Unsat, v4si,410.56, Unsat
SEU/SEU189+1.p, Unsat,508, v3si,877.37, Unsat, v4si,870.52, Unsat
ALG/ALG125+1.p, Unsat,200, v3si,259.76, Unsat, v4si,187.76, Unsat
SWV/SWV395+1.p, Unsat,11, v3si,200.41, Unsat, v4si,429.23, Unsat
GEO/GEO247+3.p, Unsat,45, v3si,987.3, Unsat, v4si,950.17, Unsat
SWC/SWC367+1.p, Unsat,7, v3si,421.19, Unsat, v4si,424.15, Unsat
SET/SET635+3.p, Unsat,19, v3si,463.46, Unsat, v4si,580.88, Unsat
GEO/GEO479+1.p, Unsat,1, v3si,1023.89, Unsat, v4si,192.04, Unsat
SWB/SWB012+3.p, Unsat,5, v3si,620.67, Unsat, v4si,196.76, Unsat
SET/SET654+3.p, Unsat,17, v3si,403.77, Unsat, v4si,976.11, Unsat
SWC/SWC354+1.p, Unsat,7, v3si,542.81, Unsat, v4si,547.36, Unsat
ALG/ALG152+1.p, Unsat,261, v3si,208.16, Unsat, v4si,364.92, Unsat
SET/SET681+3.p, Unsat,9, v3si,284.38, Unsat, v4si,219.71, Unsat
SYN/SYN411+1.p, Unsat,107, v3si,809.42, Unsat, v4si,868.32, Unsat
ALG/ALG193+1.p, Unsat,261, v3si,315.37, Unsat, v4si,215.51, Unsat
SWC/SWC412+1.p, Unsat,7, v3si,526.78, Unsat, v4si,469.68, Unsat
SET/SET595+3.p, Unsat,9, v3si,789.59, Unsat, v4si,856.07, Unsat
TOP/TOP032+2.p, Unsat,4, v3si,623.01, Unsat, v4si,474.9, Unsat
REL/REL050+2.p, Unsat,13, v3si,206.58, Unsat, v4si,859.35, Unsat
LAT/LAT321+2.p, Unsat,3, v3si,783.06, Unsat, v4si,907.32, Unsat
SWC/SWC375+1.p, Unsat,11, v3si,398.07, Unsat, v4si,399.73, Unsat
HWV/HWV095+1.p, Unsat,30, v3si,257.71, Unsat, v4si,511.68, Unsat
ALG/ALG104+1.p, Unsat,200, v3si,290.91, Unsat, v4si,187.47, Unsat
