SYO/SYO718+1.p, not goal,15, v3si,3.9, Unsat, v4si,2.03, Unsat
LCL/LCL669+1.001.p, Sat,9, v3si,554.45, Sat, v4si,550.41, Sat
PHI/PHI017+1.p, Sat,76, v3si,737.52, Sat, v4si,712.23, Sat
LCL/LCL685+1.010.p, Sat,7, v3si,257.7, Sat, v4si,262.22, Sat
SWB/SWB035+1.p, Sat,23, v3si,716.1, Sat, v4si,696.28, Sat
HWV/HWV071+1.p, not goal,1, v3si,7.91, Unsat, v4si,6.57, Unsat
SYO/SYO748+1.p, not goal,15, v3si,3.54, Unsat, v4si,2.16, Unsat
SYO/SYO641+1.p, Sat,76, v3si,798.23, Sat, v4si,792.6, Sat
SYO/SYO736+1.p, not goal,15, v3si,1.77, Unsat, v4si,1.75, Unsat
LCL/LCL647+1.010.p, not goal,3, v3si,284.59, Unsat, v4si,288.28, Unsat
RNG/RNG110+4.p, no scope finishes in time range,7, v3si,263.69, Sat, v4si,109.96, Sat
LCL/LCL661+1.015.p, Sat,15, v3si,252.59, Sat, v4si,253.61, Sat
PRD/PRD002+1.p, Sat,38, v3si,651.46, Sat, v4si,654.75, Sat
PHI/PHI020+1.p, Sat,76, v3si,742.03, Sat, v4si,669.38, Sat
SWW/SWW865+1.p, Sat,4, v3si,1044.78, Sat, v4si,235.47, Sat
KRS/KRS037+1.p, Sat,61, v3si,504.19, Sat, v4si,462.97, Sat
PLA/PLA024+1.p, Sat,22, v3si,470.32, Sat, v4si,321.78, Sat
NLP/NLP073+1.p, not goal,3, v3si,1.77, Unsat, v4si,1.74, Unsat
SWW/SWW938+1.p, no scope finishes in time range,3, v3si,1200, TIMEOUT, v4si,1200, TIMEOUT
LCL/LCL659+1.020.p, not goal,1, v3si,1.3, Unsat, v4si,1.28, Unsat
SWB/SWB023+4.p, Sat,23, v3si,710.79, Sat, v4si,694.18, Sat
SYN/SYN547+1.p, Sat,107, v3si,398.3, Sat, v4si,356.06, Sat
SYO/SYO726+1.p, not goal,15, v3si,2.08, Unsat, v4si,1.79, Unsat
NLP/NLP130+1.p, Sat,7, v3si,371.7, Sat, v4si,476.24, Sat
SYO/SYO822+1.p, not goal,7, v3si,1.04, Unsat, v4si,1.04, Unsat
SWW/SWW880+1.p, no scope finishes in time range,3, v3si,1200, TIMEOUT, v4si,861.18, Sat
SYN/SYN520+1.p, Sat,138, v3si,541.29, Sat, v4si,283.27, Sat
LCL/LCL665+1.015.p, Sat,2, v3si,290.25, Sat, v4si,276.59, Sat
SYN/SYN414+1.p, Sat,76, v3si,379.53, Sat, v4si,389.04, Sat
SYN/SYN519+1.p, Sat,61, v3si,571.23, Sat, v4si,264.23, Sat
PHI/PHI016+1.p, Sat,76, v3si,746.3, Sat, v4si,623.47, Sat
PLA/PLA027+1.p, Sat,22, v3si,467.91, Sat, v4si,650.15, Sat
KRS/KRS023+1.p, no scope finishes in time range,1001, v3si,1.94, Sat, v4si,1.79, Sat
SWW/SWW905+1.p, not goal,1, v3si,1.64, Unsat, v4si,1.53, Unsat
NLP/NLP077+1.p, not goal,3, v3si,1.8, Unsat, v4si,1.79, Unsat
NLP/NLP091+1.p, not goal,3, v3si,2.8, Unsat, v4si,3.01, Unsat
KRS/KRS045+1.p, Sat,138, v3si,1050.28, Sat, v4si,997.38, Sat
NLP/NLP243+1.p, Sat,10, v3si,244.72, Sat, v4si,275.85, Sat
LAT/LAT385+1.p, Sat,13, v3si,347.47, Sat, v4si,301.38, Sat
SYO/SYO840+1.p, not goal,15, v3si,0.94, Unsat, v4si,0.93, Unsat
SWW/SWW942+1.p, no scope finishes in time range,5, v3si,1200, TIMEOUT, v4si,1200, TIMEOUT
NLP/NLP210+1.p, not goal,1, v3si,1.21, Unsat, v4si,1.18, Unsat
SYO/SYO751+1.p, not goal,15, v3si,1.53, Unsat, v4si,1.42, Unsat
SYO/SYO636+1.p, not goal,15, v3si,0.97, Unsat, v4si,0.93, Unsat
NLP/NLP165+1.p, no scope finishes in time range,3, v3si,1200, TIMEOUT, v4si,1200, TIMEOUT
SWB/SWB022+3.p, not goal,3, v3si,3.06, Unsat, v4si,3.02, Unsat
NLP/NLP198+1.p, not goal,1, v3si,1.12, Unsat, v4si,1.15, Unsat
NLP/NLP161+1.p, no scope finishes in time range,3, v3si,1200, TIMEOUT, v4si,600.45, Sat
SYO/SYO791+1.p, not goal,15, v3si,2.23, Unsat, v4si,1.94, Unsat
LCL/LCL679+1.020.p, Sat,7, v3si,299.9, Sat, v4si,202.57, Sat
NLP/NLP101+1.p, Sat,11, v3si,303.56, Sat, v4si,275.11, Sat
SYO/SYO842+1.p, Sat,11, v3si,337.67, Sat, v4si,337.73, Sat
GEO/GEO160+1.p, not goal,3, v3si,1.42, Unsat, v4si,1.38, Unsat
GEO/GEO259+3.p, Sat,15, v3si,338.5, Sat, v4si,254.86, Sat
LCL/LCL689+1.001.p, Sat,15, v3si,195.01, Sat, v4si,193.97, Sat
NLP/NLP102+1.p, Sat,11, v3si,283.56, Sat, v4si,184.13, Sat
SWB/SWB007+3.p, not goal,3, v3si,3.16, Unsat, v4si,3.12, Unsat
CSR/CSR163+1.p, not goal,3, v3si,387.45, Unsat, v4si,297.03, Unsat
SYO/SYO710+1.p, not goal,15, v3si,2.49, Unsat, v4si,2.69, Unsat
